en,fr,it,de,es,ko,kana
Neutral,Normal,Normale,Normal,Normal,노말,ノーマル
Combat,Combat,Lotta,Kampf,Lucha,격투,かくとう
Wind,Vol,Volante,Flug,Volador,비행,ひこう
Toxic,Poison,Veleno,Gift,Veneno,독,どく
Terra,Sol,Terra,Boden,Tierra,땅,じめん
Stone,Roche,Roccia,Gestein,Roca,바위,いわ
Swarm,Insecte,Coleottero,Käfer,Bicho,벌레,むし
Spectre,Spectre,Spettro,Geist,Fantasma,고스트,ゴースト
Alloy,Acier,Acciaio,Stahl,Acero,강철,はがね
Blaze,Feu,Fuoco,Feuer,Fuego,불꽃,ほのお
Tide,Eau,Acqua,Wasser,Agua,물,みず
Flora,Plante,Erba,Pflanze,Planta,풀,くさ
Volt,Électrik,Elettro,Elektro,Eléctrico,전기,でんき
Psionic,Psy,Psico,Psycho,Psíquico,에스퍼,エスパー
Frost,Glace,Ghiaccio,Eis,Hielo,얼음,こおり
Wyrm,Dragon,Drago,Drache,Dragón,드래곤,ドラゴン
Shadow,Ténèbres,Buio,Unlicht,Siniestro,악,あく
Fae,Fée,Folletto,Fee,Hada,페어리,フェアリー
