en,fr,it,de,es,ko,kana
????? Stockmonster,Pokémon ?????,Pokémon ?????,???,Pokémon (?),?????포켓몬,？？？？？ポケモン
Blossom Crown Stockmonster,Pokémon Graine,Pokémon Seme,Samen-Pokémon,Pokémon Semilla,씨앗포켓몬,たねポケモン
Fibre Coil Stockmonster,Pokémon Graine,Pokémon Seme,Samen-Pokémon,Pokémon Semilla,씨앗포켓몬,たねポケモン
Antibody Stockmonster,Pokémon Graine,Pokémon Seme,Samen-Pokémon,Pokémon Semilla,씨앗포켓몬,たねポケモン
Compute Dragon Stockmonster,Pokémon Lézard,Pokémon Lucertola,Echsen-Pokémon,Pokémon Lagartija,도롱뇽포켓몬,とかげポケモン
Canvas Wing Stockmonster,Pokémon Flamme,Pokémon Fiamma,Flammen-Pokémon,Pokémon Llama,화염포켓몬,かえんポケモン
Burn-In Stockmonster,Pokémon Flamme,Pokémon Fiamma,Flammen-Pokémon,Pokémon Llama,화염포켓몬,かえんポケモン
Storm Cell Stockmonster,Pokémon Minitortue,Pokémon Tartaghina,Minikröten-Pokémon,Pokémon Tortuguita,꼬마거북포켓몬,かめのこポケモン
Power Cell Stockmonster,Pokémon Tortue,Pokémon Tartaruga,Kröten-Pokémon,Pokémon Tortuga,거북포켓몬,かめポケモン
Interconnect Stockmonster,Pokémon Carapace,Pokémon Crostaceo,Panzertier-Pokémon,Pokémon Armazón,껍질포켓몬,こうらポケモン
Core Vent Stockmonster,Pokémon Ver,Pokémon Baco,Wurm-Pokémon,Pokémon Gusano,애벌레포켓몬,いもむしポケモン
Deposition Stockmonster,Pokémon Cocon,Pokémon Bozzolo,Kokon-Pokémon,Pokémon Capullo,번데기포켓몬,さなぎポケモン
Aperture Stockmonster,Pokémon Papillon,Pokémon Farfalla,Falter-Pokémon,Pokémon Mariposa,나비포켓몬,ちょうちょポケモン
Speculation Stockmonster,Pokémon Insectopic,Pokémon Millepiedi,Raupe,Pokémon Oruga,송충이포켓몬,けむしポケモン
Cinema Stockmonster,Pokémon Cocon,Pokémon Bozzolo,Kokon,Pokémon Capullo,번데기포켓몬,さなぎポケモン
Packaging Stockmonster,Pokémon Guêpoison,Pokémon Velenape,Giftbiene,Pokémon Abeja Veneno,독벌포켓몬,どくばちポケモン
Mirror Mask Stockmonster,Pokémon Minoiseau,Pokémon Uccellino,Kleinvogel,Pokémon Pajarito,아기새포켓몬,ことりポケモン
Switching Stockmonster,Pokémon Oiseau,Pokémon Uccello,Vogel,Pokémon Pájaro,새포켓몬,とりポケモン
Prairie Hydra Stockmonster,Pokémon Oiseau,Pokémon Uccello,Vogel,Pokémon Pájaro,새포켓몬,とりポケモン
All-Seeing Stockmonster,Pokémon Souris,Pokémon Topo,Maus,Pokémon Ratón,쥐포켓몬,ねずみポケモン
Impression Stockmonster,Pokémon Souris,Pokémon Topo,Maus,Pokémon Ratón,쥐포켓몬,ねずみポケモン
Episode Stockmonster,Pokémon Minoiseau,Pokémon Uccellino,Kleinvogel,Pokémon Pajarito,아기새포켓몬,ことりポケモン
Ultraviolet Stockmonster,Pokémon Bec-Oiseau,Pokémon Becco,Pickvogel,Pokémon Pico,부리포켓몬,くちばしポケモン
Warehouse Stockmonster,Pokémon Serpent,Pokémon Serpente,Schlange,Pokémon Serpiente,뱀포켓몬,へびポケモン
Orbital Stockmonster,Pokémon Cobra,Pokémon Cobra,Kobra,Pokémon Cobra,코브라포켓몬,コブラポケモン
Autonomous Stockmonster,Pokémon Souris,Pokémon Topo,Maus-Pokémon,Pokémon Ratón,쥐포켓몬,ねずみポケモン
Loitering Stockmonster,Pokémon Souris,Pokémon Topo,Maus-Pokémon,Pokémon Ratón,쥐포켓몬,ねずみポケモン
Switching Matrix Stockmonster,Pokémon Souris,Pokémon Topo,Maus-Pokémon,Pokémon Ratón,쥐포켓몬,ねずみポケモン
Non-Lethal Stockmonster,Pokémon Souris,Pokémon Topo,Maus-Pokémon,Pokémon Ratón,쥐포켓몬,ねずみポケモン
Refraction Stockmonster,Pokémon Vénépic,Pokémon Velenago,Giftdorn-Pokémon,Pokémon Pin Veneno,독침포켓몬,どくばりポケモン
Fuselage Stockmonster,Pokémon Vénépic,Pokémon Velenago,Giftdorn-Pokémon,Pokémon Pin Veneno,독침포켓몬,どくばりポケモン
Merchant Stockmonster,Pokémon Perceur,Pokémon Trapano,Bohrer-Pokémon,Pokémon Taladro,드릴포켓몬,ドリルポケモン
Briar Stockmonster,Pokémon Vénépic,Pokémon Velenago,Giftdorn-Pokémon,Pokémon Pin Veneno,독침포켓몬,どくばりポケモン
Kindling Stockmonster,Pokémon Vénépic,Pokémon Velenago,Giftdorn-Pokémon,Pokémon Pin Veneno,독침포켓몬,どくばりポケモン
Laddered Stockmonster,Pokémon Perceur,Pokémon Trapano,Bohrer-Pokémon,Pokémon Taladro,드릴포켓몬,ドリルポケモン
Bulwark Stockmonster,Pokémon Fée,Pokémon Fata,Feen-Pokémon,Pokémon Hada,요정포켓몬,ようせいポケモン
Wafer-Scale Stockmonster,Pokémon Fée,Pokémon Fata,Feen-Pokémon,Pokémon Hada,요정포켓몬,ようせいポケモン
Index Stockmonster,Pokémon Renard,Pokémon Volpe,Fuchs-Pokémon,Pokémon Zorro,여우포켓몬,きつねポケモン
Cruise Stockmonster,Pokémon Renard,Pokémon Volpe,Fuchs-Pokémon,Pokémon Zorro,여우포켓몬,きつねポケモン
Bulk Stockmonster,Pokémon Bouboule,Pokémon Pallone,Ballon-Pokémon,Pokémon Globo,풍선포켓몬,ふうせんポケモン
Reactor Stockmonster,Pokémon Bouboule,Pokémon Pallone,Ballon-Pokémon,Pokémon Globo,풍선포켓몬,ふうせんポケモン
Hoarding Stockmonster,Pokémon Chovsouris,Pokémon Pipistrello,Fledermaus-Pokémon,Pokémon Murciélago,박쥐포켓몬,こうもりポケモン
Caffeinated Stockmonster,Pokémon Chovsouris,Pokémon Pipistrello,Fledermaus-Pokémon,Pokémon Murciélago,박쥐포켓몬,こうもりポケモン
Transoceanic Stockmonster,Pokémon Racine,Pokémon Malerba,Unkraut-Pokémon,Pokémon Hierbajo,잡초포켓몬,ざっそうポケモン
Lucky Leaf Stockmonster,Pokémon Racine,Pokémon Malerba,Unkraut-Pokémon,Pokémon Hierbajo,잡초포켓몬,ざっそうポケモン
Assembly Stockmonster,Pokémon Fleur,Pokémon Fiore,Blumen-Pokémon,Pokémon Flor,꽃포켓몬,フラワーポケモン
Hash-Rate Stockmonster,Pokémon Champignon,Pokémon Fungo,Pilz,Pokémon Hongo,버섯포켓몬,きのこポケモン
Prism Stockmonster,Pokémon Champignon,Pokémon Fungo,Pilz,Pokémon Hongo,버섯포켓몬,きのこポケモン
Windowed Stockmonster,Pokémon Vermine,Pokémon Insetto,Insekt,Pokémon Insecto,곤충포켓몬,こんちゅうポケモン
Stable Ring Stockmonster,Pokémon Papipoison,Pokémon Velentarma,Giftmotte,Pokémon Polilla Ven.,독나방포켓몬,どくがポケモン
Retimer Stockmonster,Pokémon Taupe,Pokémon Talpa,Maulwurf-Pokémon,Pokémon Topo,두더지포켓몬,もぐらポケモン
Riddle Stockmonster,Pokémon Taupe,Pokémon Talpa,Maulwurf-Pokémon,Pokémon Topo,두더지포켓몬,もぐらポケモン
Intrusion Stockmonster,Pokémon Chadégout,Pokémon Graffimiao,Katzen-Pokémon,Pokémon Gato Araña,요괴고양이포켓몬,ばけねこポケモン
Rack-Weaving Stockmonster,Pokémon Chadeville,Pokémon Nobilgatto,Rassekatzen-Pokémon,Pokémon Gato Fino,샴고양이포켓몬,シャムネコポケモン
Routing Stockmonster,Pokémon Canard,Pokémon Papero,Enten-Pokémon,Pokémon Pato,오리포켓몬,あひるポケモン
Advisory Stockmonster,Pokémon Canard,Pokémon Papero,Enten-Pokémon,Pokémon Pato,오리포켓몬,あひるポケモン
Vending Stockmonster,Pokémon Porsinge,Pokémon Suinpanzé,Schwein/Affe,Pokémon Mono Cerdo,돈숭이포켓몬,ぶたざるポケモン
Telemetry Stockmonster,Pokémon Porsinge,Pokémon Suinpanzé,Schwein/Affe,Pokémon Mono Cerdo,돈숭이포켓몬,ぶたざるポケモン
Modular Stockmonster,Pokémon Chiot,Pokémon Cagnolino,Welpen-Pokémon,Pokémon Perrito,강아지포켓몬,こいぬポケモン
Broadcast Stockmonster,Pokémon Légendaire,Pokémon Leggenda,Legendär-Pokémon,Pokémon Leyenda,전설포켓몬,でんせつポケモン
Droplet Stockmonster,Pokémon Têtard,Pokémon Girino,Kaulquappen-Pokémon,Pokémon Renacuajo,올챙이포켓몬,おたまポケモン
Pigment Stockmonster,Pokémon Têtard,Pokémon Girino,Kaulquappen-Pokémon,Pokémon Renacuajo,올챙이포켓몬,おたまポケモン
Terraced Stockmonster,Pokémon Têtard,Pokémon Girino,Kaulquappen-Pokémon,Pokémon Renacuajo,올챙이포켓몬,おたまポケモン
Heavy Industry Stockmonster,Pokémon Psy,Pokémon Psico,Psi-Pokémon,Pokémon Psi,초능력포켓몬,ねんりきポケモン
Work Stockmonster,Pokémon Psy,Pokémon Psico,Psi-Pokémon,Pokémon Psi,초능력포켓몬,ねんりきポケモン
Scoring Stockmonster,Pokémon Psy,Pokémon Psico,Psi-Pokémon,Pokémon Psi,초능력포켓몬,ねんりきポケモン
Vector Stockmonster,Pokémon Colosse,Pokémon Megaforza,Kraftprotz-Pokémon,Pokémon Superpoder,괴력포켓몬,かいりきポケモン
Payment Rail Stockmonster,Pokémon Colosse,Pokémon Megaforza,Kraftprotz-Pokémon,Pokémon Superpoder,괴력포켓몬,かいりきポケモン
Ducted Stockmonster,Pokémon Colosse,Pokémon Megaforza,Kraftprotz-Pokémon,Pokémon Superpoder,괴력포켓몬,かいりきポケモン
Surge Stockmonster,Pokémon Fleur,Pokémon Fiore,Blume,Pokémon Flor,꽃포켓몬,フラワーポケモン
Liftoff Stockmonster,Pokémon Carnivore,Pokémon Moschivoro,Fliegentod,Pokémon Matamoscas,파리잡이포켓몬,ハエとりポケモン
Firewall Stockmonster,Pokémon Carnivore,Pokémon Moschivoro,Fliegentod,Pokémon Matamoscas,파리잡이포켓몬,ハエとりポケモン
Order-Book Stockmonster,Pokémon Mollusque,Pokémon Medusa,Quallen-Pokémon,Pokémon Medusa,해파리포켓몬,くらげポケモン
Turbine Stockmonster,Pokémon Mollusque,Pokémon Medusa,Quallen-Pokémon,Pokémon Medusa,해파리포켓몬,くらげポケモン
Vortex Stockmonster,Pokémon Roche,Pokémon Roccia,Gestein,Pokémon Roca,암석포켓몬,がんせきポケモン
Vault Stockmonster,Pokémon Roche,Pokémon Roccia,Gestein,Pokémon Roca,암석포켓몬,がんせきポケモン
Tempered Stockmonster,Pokémon Titanesque,Pokémon Megatone,Urgestein,Pokémon Megatón,메가톤포켓몬,メガトンポケモン
Star-Field Stockmonster,Pokémon Cheval Feu,Pokémon Cavalfuoco,Feuerpferd-Pokémon,Pokémon Caballo Fuego,불의말포켓몬,ひのうまポケモン
Attention Stockmonster,Pokémon Cheval Feu,Pokémon Cavalfuoco,Feuerpferd-Pokémon,Pokémon Caballo Fuego,불의말포켓몬,ひのうまポケモン
Shipyard Stockmonster,Pokémon Crétin,Pokémon Ronfone,Schnarcher-Pokémon,Pokémon Atontado,얼간이포켓몬,まぬけポケモン
Discreet Stockmonster,Pokémon Symbiose,Pokémon Paguro,Symbiose-Pokémon,Pokémon Ermitaño,기생포켓몬,やどかりポケモン
Enterprise Stockmonster,Pokémon Magnétique,Pokémon Calamita,Magnet-Pokémon,Pokémon Imán,자석포켓몬,じしゃくポケモン
Forged Stockmonster,Pokémon Magnétique,Pokémon Calamita,Magnet-Pokémon,Pokémon Imán,자석포켓몬,じしゃくポケモン
Mainframe Stockmonster,Pokémon Canard Fou,Pokémon Selvanatra,Wildenten-Pokémon,Pokémon Pato Salvaje,청둥오리포켓몬,かるがもポケモン
Immune Stockmonster,Pokémon Duoiseau,Pokémon Biuccello,Duovogel,Pokémon Ave Gemela,쌍둥이새포켓몬,ふたごどりポケモン
Subcontinent Stockmonster,Pokémon Trioiseau,Pokémon Triuccello,Trivogel,Pokémon Ave Triple,세쌍둥이새포켓몬,みつごどりポケモン
Lattice Stockmonster,Pokémon Otarie,Pokémon Otaria,Seehund,Pokémon León Marino,강치포켓몬,あしかポケモン
Annotation Stockmonster,Pokémon Otarie,Pokémon Otaria,Seehund,Pokémon León Marino,강치포켓몬,あしかポケモン
Legacy Stockmonster,Pokémon Dégueu,Pokémon Melma,Schlamm,Pokémon Lodo,진흙포켓몬,ヘドロポケモン
Ledger Stockmonster,Pokémon Dégueu,Pokémon Melma,Schlamm,Pokémon Lodo,진흙포켓몬,ヘドロポケモン
Trapped-Ion Stockmonster,Pokémon Bivalve,Pokémon Bivalve,Muschel-Pokémon,Pokémon Bivalvo,두조개포켓몬,２まいがいポケモン
Immersion Stockmonster,Pokémon Bivalve,Pokémon Bivalve,Muschel-Pokémon,Pokémon Bivalvo,두조개포켓몬,２まいがいポケモン
Pack-Mule Stockmonster,Pokémon Gaz,Pokémon Gas,Gas-Pokémon,Pokémon Gas,가스포켓몬,ガスじょうポケモン
Apothecary Stockmonster,Pokémon Gaz,Pokémon Gas,Gas-Pokémon,Pokémon Gas,가스포켓몬,ガスじょうポケモン
Rotor Stockmonster,Pokémon Ombre,Pokémon Ombra,Schatten-Pokémon,Pokémon Sombra,그림자포켓몬,シャドーポケモン
Defect-Scanning Stockmonster,Pokémon Serpenroc,Pokémon Serpesasso,Felsnatter-Pokémon,Pokémon Serpiente Roca,돌뱀포켓몬,いわへびポケモン
Department Stockmonster,Pokémon Hypnose,Pokémon Ipnosi,Hypnose,Pokémon Hipnosis,최면포켓몬,さいみんポケモン
Target Stockmonster,Pokémon Hypnose,Pokémon Ipnosi,Hypnose,Pokémon Hipnosis,최면포켓몬,さいみんポケモン
Encrypted Stockmonster,Pokémon Doux Crabe,Pokémon Granchio,Krabben-Pokémon,Pokémon Cangrejo,게포켓몬,さわがにポケモン
Transceiver Stockmonster,Pokémon Pince,Pokémon Chela,Kneifer-Pokémon,Pokémon Tenaza,집게포켓몬,はさみポケモン
Elixir Stockmonster,Pokémon Balle,Pokémon Ball,Ball,Pokémon Bola,볼포켓몬,ボールポケモン
Stealth Stockmonster,Pokémon Balle,Pokémon Ball,Ball,Pokémon Bola,볼포켓몬,ボールポケモン
Etching Stockmonster,Pokémon Œuf,Pokémon Uovo,Ei-Pokémon,Pokémon Huevo,알포켓몬,たまごポケモン
Flexible Stockmonster,Pokémon Fruitpalme,Pokémon Nocecocco,Palmfrucht-Pokémon,Pokémon Coco,야자열매포켓몬,やしのみポケモン
Lunar Stockmonster,Pokémon Solitaire,Pokémon Solitario,Einsam-Pokémon,Pokémon Solitario,고독포켓몬,こどくポケモン
Document Stockmonster,Pokémon Gard’Os,Pokémon Guardaossi,Knochenfan-Pokémon,Pokémon Apilahueso,뼈다귀포켓몬,ほねずきポケモン
Heat-Exchange Stockmonster,Pokémon Latteur,Pokémon Tiracalci,Kicker-Pokémon,Pokémon Patada,킥포켓몬,キックポケモン
Monolithic Stockmonster,Pokémon Puncheur,Pokémon Tirapugni,Puncher-Pokémon,Pokémon Puñetazo,펀치포켓몬,パンチポケモン
Messenger Stockmonster,Pokémon Lécheur,Pokémon Linguaccia,Schlecker-Pokémon,Pokémon Lametazo,핥기포켓몬,なめまわしポケモン
Controller Stockmonster,Pokémon Gaz Mortel,Pokémon Velenuvola,Giftwolken-Pokémon,Pokémon Gas Venenoso,독가스포켓몬,どくガスポケモン
Joke Stockmonster,Pokémon Gaz Mortel,Pokémon Velenuvola,Giftwolken-Pokémon,Pokémon Gas Venenoso,독가스포켓몬,どくガスポケモン
Memory-Cell Stockmonster,Pokémon Piquant,Pokémon Punzoni,Stachler-Pokémon,Pokémon Clavos,뿔포켓몬,とげとげポケモン
Broadband Stockmonster,Pokémon Perceur,Pokémon Trapano,Bohrer-Pokémon,Pokémon Taladro,드릴포켓몬,ドリルポケモン
Itinerary Stockmonster,Pokémon Œuf,Pokémon Uovo,Ei-Pokémon,Pokémon Huevo,알포켓몬,たまごポケモン
Nebula Stockmonster,Pokémon Vigne,Pokémon Liana,Ranken-Pokémon,Pokémon Enredadera,넝쿨포켓몬,ツルじょうポケモン
Edge-Cloud Stockmonster,Pokémon Maternel,Pokémon Genitore,Muttertier-Pokémon,Pokémon Maternal,가족포켓몬,おやこポケモン
Containment Stockmonster,Pokémon Dragon,Pokémon Drago,Drachen-Pokémon,Pokémon Dragón,드래곤포켓몬,ドラゴンポケモン
Workflow Stockmonster,Pokémon Dragon,Pokémon Drago,Drachen-Pokémon,Pokémon Dragón,드래곤포켓몬,ドラゴンポケモン
Digital Bank Stockmonster,Pokémon Poisson,Pokémon Pescerosso,Goldfisch-Pokémon,Pokémon Pez Color,금붕어포켓몬,きんぎょポケモン
Fast-Switching Stockmonster,Pokémon Poisson,Pokémon Pescerosso,Goldfisch-Pokémon,Pokémon Pez Color,금붕어포켓몬,きんぎょポケモン
Fast-Reactor Stockmonster,Pokémon Étoile,Pokémon Stella,Sternform-Pokémon,Pokémon Estrella,별포켓몬,ほしがたポケモン
Flicker Stockmonster,Pokémon Mystérieux,Pokémon Misterioso,Mysteriös-Pokémon,Pokémon Misterioso,수수께끼포켓몬,なぞのポケモン
Inspection Stockmonster,Pokémon Bloqueur,Pokémon Barriera,Sperren-Pokémon,Pokémon Barrera,배리어포켓몬,バリアーポケモン
Query Stockmonster,Pokémon Mante,Pokémon Mantide,Mantis-Pokémon,Pokémon Mantis,버마재비포켓몬,かまきりポケモン
Point-Cloud Stockmonster,Pokémon Humanoïde,Pokémon Umanoide,Humanotyp-Pokémon,Pokémon Forma Humana,인간형태포켓몬,ひとがたポケモン
Purifying Stockmonster,Pokémon Électrique,Pokémon Elettrico,Elektro-Pokémon,Pokémon Eléctrico,전기포켓몬,でんげきポケモン
Ironic Index Stockmonster,Pokémon Crache-Feu,Pokémon Sputafuoco,Brenner-Pokémon,Pokémon Escupefuego,불뿜기포켓몬,ひふきポケモン
Automation Stockmonster,Pokémon Scarabée,Pokémon Cervolante,Kneifkäfer-Pokémon,Pokémon Escarabajo,뿔집게포켓몬,くわがたポケモン
Memory-Module Stockmonster,Pokémon Buffle,Pokémon Torobrado,Wildbullen-Pokémon,Pokémon Toro Bravo,성난소포켓몬,あばれうしポケモン
Capsule Stockmonster,Pokémon Poisson,Pokémon Pesce,Fisch-Pokémon,Pokémon Pez,물고기포켓몬,さかなポケモン
